Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Spain,ESP,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,, 97.17 , 97.75 ,, 97.94 , 97.63 , 97.68 , 97.75 , 97.78 
Spain,ESP,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,, 96.23 , 96.93 ,, 97.26 , 96.89 , 96.93 , 97.00 , 97.07 
Spain,ESP,"Adult literacy rate, population 15+ years, gender parity index (GPI)",UIS.LR.AG15T99.GPI,,,,, 0.98 , 0.98 ,, 0.99 , 0.98 , 0.98 , 0.98 , 0.99 
Spain,ESP,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,, 98.14 , 98.62 ,, 98.63 , 98.40 , 98.46 , 98.53 , 98.54 
Spain,ESP,All staff compensation as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNS, 85.09 , 83.98 , 80.63 , 81.09 , 80.10 , 78.62 , 76.72 , 69.07 , 68.49 , 69.19 , 69.60 , 69.60 
Spain,ESP,All staff compensation as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNS, 84.26 , 83.82 , 82.54 , 81.51 , 79.85 , 77.58 , 75.86 , 74.35 , 74.55 , 75.22 , 74.89 , 74.89 
Spain,ESP,All staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNS, 77.59 , 77.73 , 75.92 , 75.15 , 74.02 , 73.45 , 72.33 , 70.70 , 70.42 , 71.37 , 71.56 , 71.56 
Spain,ESP,All staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNS, 81.86 , 81.78 , 78.82 , 77.79 , 75.24 , 73.62 , 73.21 , 75.37 , 75.07 , 75.98 , 76.66 , 76.66 
Spain,ESP,All staff compensation as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNS, 62.15 , 64.38 , 64.38 , 63.80 , 64.79 , 67.22 , 65.94 , 61.83 , 61.37 , 62.82 , 63.03 , 63.03 
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. 15 years of experience,OECD.TSAL.2.E15," 31,616.22 "," 35,214.67 "," 36,929.88 "," 39,019.19 "," 40,663.34 "," 41,587.93 "," 43,170.62 "," 44,773.92 "," 46,793.92 "," 52,654.46 "," 47,815.51 "," 45,688.76 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0," 27,046.05 "," 30,227.74 "," 31,549.74 "," 33,701.57 "," 35,097.65 "," 35,840.13 "," 37,153.06 "," 38,532.88 "," 40,729.32 "," 45,721.27 "," 41,518.39 "," 39,693.26 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Top of scale,OECD.TSAL.2.ETOP," 39,804.34 "," 43,789.57 "," 45,957.48 "," 48,351.73 "," 50,161.99 "," 51,904.21 "," 52,690.66 "," 54,647.52 "," 56,728.32 "," 63,941.85 "," 58,065.12 "," 55,603.14 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Primary. 15 years of experience,OECD.TSAL.1.E15," 29,261.39 "," 31,357.23 "," 33,520.76 "," 34,889.56 "," 36,341.92 "," 37,056.36 "," 38,482.72 "," 39,911.92 "," 42,796.49 "," 47,182.00 "," 42,845.58 "," 41,339.16 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0," 25,028.73 "," 26,875.27 "," 28,160.70 "," 29,972.77 "," 31,380.77 "," 31,847.49 "," 33,023.78 "," 34,250.24 "," 37,171.92 "," 40,896.00 "," 37,137.30 "," 35,880.54 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Primary. Top of scale,OECD.TSAL.1.ETOP," 37,238.01 "," 39,123.02 "," 41,860.11 "," 43,816.00 "," 45,333.83 "," 46,622.87 "," 47,694.60 "," 49,465.92 "," 52,390.58 "," 57,067.37 "," 51,822.05 "," 50,769.83 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. 15 years of experience,OECD.TSAL.3.E15," 33,984.99 "," 36,500.48 "," 38,066.70 "," 40,230.92 "," 41,552.32 "," 42,552.49 "," 44,146.23 "," 45,785.76 "," 48,944.84 "," 53,758.74 "," 48,818.09 "," 46,479.09 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0," 29,080.97 "," 31,345.23 "," 32,678.52 "," 34,613.99 "," 35,792.32 "," 36,610.98 "," 37,956.89 "," 39,366.56 "," 42,440.22 "," 46,608.89 "," 42,324.69 "," 40,308.29 "
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Top of scale,OECD.TSAL.3.ETOP," 42,520.66 "," 45,345.08 "," 47,323.27 "," 49,712.45 "," 51,225.36 "," 53,120.45 "," 53,781.66 "," 55,779.04 "," 59,234.19 "," 65,266.98 "," 59,268.72 "," 56,536.41 "
Spain,ESP,Capital expenditure as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNCAP, 3.72 , 3.86 , 5.63 , 6.45 , 6.44 , 8.02 , 9.08 , 9.76 , 10.02 , 9.41 , 8.12 , 8.12 
Spain,ESP,Capital expenditure as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNCAP, 4.01 , 4.10 , 4.77 , 5.78 , 6.08 , 7.77 , 8.51 , 8.43 , 8.70 , 8.06 , 7.21 , 7.21 
Spain,ESP,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP, 8.95 , 8.86 , 9.53 , 11.04 , 9.83 , 9.84 , 11.64 , 12.22 , 12.53 , 11.55 , 10.77 , 10.77 
Spain,ESP,Capital expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCAP, 5.01 , 5.26 , 6.40 , 8.94 , 6.58 , 6.79 , 9.83 , 10.24 , 10.05 , 9.39 , 8.39 , 8.39 
Spain,ESP,Capital expenditure as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNCAP, 21.56 , 20.02 , 19.51 , 20.20 , 19.01 , 16.84 , 18.14 , 19.59 , 20.64 , 18.78 , 18.42 , 18.42 
Spain,ESP,Current expenditure as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNCUR, 96.28 , 96.14 , 94.37 , 93.55 , 93.56 , 91.98 , 90.92 , 90.24 , 89.98 , 90.59 , 91.88 , 91.88 
Spain,ESP,Current expenditure as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNCUR, 95.99 , 95.90 , 95.23 , 94.22 , 93.92 , 92.23 , 91.49 , 91.57 , 91.30 , 91.94 , 92.79 , 92.79 
Spain,ESP,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS, 91.05 , 91.14 , 90.47 , 88.96 , 90.17 , 90.16 , 88.36 , 87.78 , 87.47 , 88.45 , 89.23 , 89.23 
Spain,ESP,Current expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCUR, 94.99 , 94.74 , 93.60 , 91.06 , 93.42 , 93.21 , 90.17 , 89.76 , 89.95 , 90.61 , 91.61 , 91.61 
Spain,ESP,Current expenditure as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNCUR, 78.44 , 79.98 , 80.49 , 79.80 , 80.99 , 83.16 , 81.86 , 80.41 , 79.36 , 81.22 , 81.58 , 81.58 
Spain,ESP,Current expenditure other than staff compensation as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNNONS, 11.18 , 12.15 , 13.74 , 12.47 , 13.46 , 13.36 , 14.20 , 21.17 , 21.49 , 21.40 , 22.28 , 22.28 
Spain,ESP,Current expenditure other than staff compensation as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNNONS, 11.74 , 12.09 , 12.69 , 12.71 , 14.07 , 14.66 , 15.63 , 17.22 , 16.74 , 16.73 , 17.89 , 17.89 
Spain,ESP,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNNONS, 13.46 , 13.40 , 14.55 , 13.80 , 16.15 , 16.71 , 16.03 , 17.08 , 17.06 , 17.08 , 17.67 , 17.67 
Spain,ESP,Current expenditure other than staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNNONS, 13.13 , 12.97 , 14.79 , 13.27 , 18.18 , 19.59 , 16.95 , 14.39 , 14.88 , 14.62 , 14.94 , 14.94 
Spain,ESP,Current expenditure other than staff compensation as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNNONS, 16.29 , 15.60 , 16.10 , 15.99 , 16.20 , 15.94 , 15.92 , 18.59 , 17.99 , 18.40 , 18.56 , 18.56 
Spain,ESP,Duration of compulsory education (years),SE.COM.DURS, 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 
Spain,ESP,"Early school leavers from primary education, both sexes (number)",UIS.ESL.1.T,,,,,,," 2,473.56 ",,," 2,396.83 "," 22,689.59 "," 10,611.58 "
Spain,ESP,"Early school leavers from primary education, female (number)",UIS.ESL.1.F,,,,,,," 1,440.90 ",,,,," 5,942.94 "
Spain,ESP,"Early school leavers from primary education, male (number)",UIS.ESL.1.M,,,,,,," 1,032.66 ",,,,," 4,668.65 "
Spain,ESP,"Elderly illiterate population, 65+ years, % female",UIS.LPP.AG65,,,,, 72.49 , 74.65 ,, 74.63 , 74.36 , 73.73 , 75.13 , 74.10 
Spain,ESP,"Elderly illiterate population, 65+ years, both sexes (number)",UIS.LP.AG65,,,,," 684,441.00 "," 585,737.00 ",," 559,415.00 "," 618,703.00 "," 613,708.00 "," 596,820.00 "," 585,865.00 "
Spain,ESP,"Elderly illiterate population, 65+ years, female (number)",UIS.LP.AG65.F,,,,," 496,127.00 "," 437,244.00 ",," 417,509.00 "," 460,041.00 "," 452,503.00 "," 448,417.00 "," 434,099.00 "
Spain,ESP,"Elderly illiterate population, 65+ years, male (number)",UIS.LP.AG65.M,,,,," 188,314.00 "," 148,493.00 ",," 141,906.00 "," 158,661.00 "," 161,205.00 "," 148,403.00 "," 151,766.00 "
Spain,ESP,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,, 90.49 , 91.94 ,, 92.70 , 92.01 , 92.22 , 92.56 , 92.82 
Spain,ESP,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,, 88.05 , 89.64 ,, 90.44 , 89.66 , 90.01 , 90.25 , 90.71 
Spain,ESP,"Elderly literacy rate, population 65+ years, gender parity index (GPI)",UIS.LR.AG65.GPI,,,,, 0.94 , 0.94 ,, 0.95 , 0.94 , 0.95 , 0.94 , 0.95 
Spain,ESP,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,, 93.77 , 95.17 ,, 95.58 , 95.16 , 95.18 , 95.63 , 95.63 
Spain,ESP,"Enrolment in Grade 1 of lower secondary general education, both sexes (number)",UIS.E.2.GPV.G1.T," 438,593.00 "," 431,576.00 "," 426,892.00 "," 423,317.00 "," 427,112.00 "," 512,741.00 "," 507,743.00 "," 497,345.00 "," 493,597.00 "," 491,834.00 "," 492,213.00 ",
Spain,ESP,"Enrolment in Grade 1 of lower secondary general education, female (number)",UIS.E.2.GPV.G1.F," 212,407.00 "," 209,467.00 "," 206,968.00 "," 206,116.00 "," 207,539.00 "," 238,233.00 "," 236,439.00 "," 231,385.00 "," 231,368.00 "," 232,412.00 "," 232,429.00 ",
Spain,ESP,"Enrolment in Grade 1 of primary education, both sexes (number)",UIS.E.1.G1," 396,603.00 "," 383,315.00 "," 382,328.00 "," 387,960.00 "," 399,047.00 "," 397,498.00 "," 413,850.00 "," 432,624.00 "," 440,235.00 "," 448,245.00 "," 464,274.00 "," 473,001.00 "
Spain,ESP,"Enrolment in Grade 1 of primary education, female (number)",UIS.E.1.G1.F," 192,771.00 "," 186,030.00 "," 185,738.00 "," 188,662.00 "," 194,030.00 "," 192,355.00 "," 201,184.00 "," 210,104.00 "," 214,855.00 "," 218,575.00 "," 227,106.00 "," 230,215.00 "
Spain,ESP,"Enrolment in Grade 2 of lower secondary general education, both sexes (number)",UIS.E.2.GPV.G2.T,,," 533,147.00 "," 553,544.00 "," 558,693.00 "," 494,734.00 "," 514,579.00 "," 533,727.00 "," 537,640.00 "," 481,567.00 "," 475,304.00 ",
Spain,ESP,"Enrolment in Grade 2 of lower secondary general education, female (number)",UIS.E.2.GPV.G2.F,,," 250,333.00 "," 259,467.00 "," 263,127.00 "," 239,434.00 "," 247,891.00 "," 252,553.00 "," 255,377.00 "," 229,001.00 "," 227,412.00 ",
Spain,ESP,"Enrolment in Grade 2 of primary education, both sexes (number)",UIS.E.1.G2," 419,102.00 "," 410,019.00 "," 399,484.00 "," 400,374.00 "," 407,107.00 "," 416,143.00 "," 417,384.00 "," 436,972.00 "," 458,141.00 "," 464,433.00 "," 467,022.00 "," 484,454.00 "
Spain,ESP,"Enrolment in Grade 2 of primary education, female (number)",UIS.E.1.G2.F," 203,254.00 "," 198,176.00 "," 192,897.00 "," 193,449.00 "," 197,240.00 "," 201,255.00 "," 200,850.00 "," 211,070.00 "," 220,750.00 "," 225,284.00 "," 225,683.00 "," 234,853.00 "
Spain,ESP,"Enrolment in Grade 3 of lower secondary general education, both sexes (number)",UIS.E.2.GPV.G3.T,,," 508,952.00 "," 502,424.00 "," 500,227.00 "," 493,928.00 "," 477,828.00 "," 452,031.00 "," 455,829.00 "," 441,921.00 "," 434,213.00 ",
Spain,ESP,"Enrolment in Grade 3 of lower secondary general education, female (number)",UIS.E.2.GPV.G3.F,,," 246,479.00 "," 244,828.00 "," 244,936.00 "," 241,499.00 "," 234,406.00 "," 225,883.00 "," 226,861.00 "," 219,464.00 "," 215,339.00 ",
Spain,ESP,"Enrolment in Grade 3 of primary education, both sexes (number)",UIS.E.1.G3," 407,286.00 "," 409,821.00 "," 403,469.00 "," 391,880.00 "," 392,037.00 "," 395,031.00 "," 403,284.00 "," 405,663.00 "," 424,815.00 "," 441,280.00 "," 441,740.00 "," 445,457.00 "
Spain,ESP,"Enrolment in Grade 3 of primary education, female (number)",UIS.E.1.G3.F," 197,754.00 "," 199,954.00 "," 196,212.00 "," 190,332.00 "," 190,299.00 "," 192,498.00 "," 196,153.00 "," 196,847.00 "," 207,139.00 "," 214,244.00 "," 215,953.00 "," 216,832.00 "
Spain,ESP,"Enrolment in Grade 4 of lower secondary general education, both sexes (number)",UIS.E.2.GPV.G4.T,,," 483,440.00 "," 484,319.00 "," 481,966.00 "," 472,925.00 "," 468,638.00 "," 474,298.00 "," 465,711.00 "," 398,250.00 "," 391,059.00 ",
Spain,ESP,"Enrolment in Grade 4 of lower secondary general education, female (number)",UIS.E.2.GPV.G4.F,,," 245,645.00 "," 247,858.00 "," 247,916.00 "," 243,333.00 "," 240,655.00 "," 243,436.00 "," 238,705.00 "," 203,392.00 "," 198,080.00 ",
Spain,ESP,"Enrolment in Grade 4 of primary education, both sexes (number)",UIS.E.1.G4," 424,368.00 "," 422,551.00 "," 428,413.00 "," 424,820.00 "," 414,496.00 "," 411,386.00 "," 415,886.00 "," 427,044.00 "," 431,414.00 "," 447,809.00 "," 460,770.00 "," 461,692.00 "
Spain,ESP,"Enrolment in Grade 4 of primary education, female (number)",UIS.E.1.G4.F," 205,675.00 "," 203,956.00 "," 207,415.00 "," 205,105.00 "," 200,124.00 "," 198,604.00 "," 201,132.00 "," 206,378.00 "," 207,858.00 "," 217,321.00 "," 222,410.00 "," 224,150.00 "
Spain,ESP,"Enrolment in Grade 5 of primary education, both sexes (number)",UIS.E.1.G5," 421,259.00 "," 414,936.00 "," 414,587.00 "," 418,734.00 "," 414,813.00 "," 402,252.00 "," 399,415.00 "," 404,316.00 "," 415,978.00 "," 418,065.00 "," 427,618.00 "," 441,739.00 "
Spain,ESP,"Enrolment in Grade 5 of primary education, female (number)",UIS.E.1.G5.F," 204,395.00 "," 201,965.00 "," 201,523.00 "," 203,814.00 "," 201,421.00 "," 195,128.00 "," 193,939.00 "," 197,126.00 "," 202,166.00 "," 202,619.00 "," 208,519.00 "," 214,221.00 "
Spain,ESP,"Enrolment in Grade 6 of primary education, both sexes (number)",UIS.E.1.G6," 454,237.00 "," 448,523.00 "," 445,980.00 "," 448,087.00 "," 452,131.00 "," 445,326.00 "," 433,545.00 "," 431,414.00 "," 436,801.00 "," 445,329.00 "," 440,975.00 "," 448,643.00 "
Spain,ESP,"Enrolment in Grade 6 of primary education, female (number)",UIS.E.1.G6.F," 217,918.00 "," 215,027.00 "," 214,121.00 "," 214,909.00 "," 217,501.00 "," 213,513.00 "," 207,685.00 "," 207,234.00 "," 210,820.00 "," 214,528.00 "," 211,846.00 "," 216,919.00 "
Spain,ESP,"Enrolment in lower secondary education, both sexes (number)",UIS.E.2," 2,048,731.00 "," 1,994,220.00 "," 1,960,892.00 "," 1,971,841.00 "," 1,975,769.00 "," 1,982,783.00 "," 1,977,258.00 "," 1,966,155.00 "," 1,961,758.00 "," 1,962,662.00 "," 2,011,337.00 "," 2,019,676.00 "
Spain,ESP,"Enrolment in lower secondary education, female (number)",UIS.E.2.F," 994,261.00 "," 967,839.00 "," 952,866.00 "," 961,526.00 "," 966,665.00 "," 965,747.00 "," 962,710.00 "," 956,711.00 "," 955,865.00 "," 955,462.00 "," 971,543.00 "," 976,285.00 "
Spain,ESP,"Enrolment in lower secondary education, private institutions, both sexes (number)",UIS.E.2.PR," 674,915.00 "," 667,746.00 "," 659,552.00 "," 646,490.00 "," 640,943.00 "," 633,497.00 "," 630,988.00 "," 626,975.00 "," 630,199.00 "," 630,997.00 "," 623,832.00 "," 627,394.00 "
Spain,ESP,"Enrolment in lower secondary education, public institutions, both sexes (number)",UIS.E.2.PU," 1,373,816.00 "," 1,326,474.00 "," 1,301,340.00 "," 1,325,351.00 "," 1,334,826.00 "," 1,349,286.00 "," 1,346,270.00 "," 1,339,180.00 "," 1,331,559.00 "," 1,331,665.00 "," 1,387,505.00 "," 1,392,282.00 "
Spain,ESP,"Enrolment in lower secondary general, both sexes (number)",UIS.E.2.GPV," 2,040,313.00 "," 1,985,805.00 "," 1,952,431.00 "," 1,963,604.00 "," 1,967,998.00 "," 1,974,328.00 "," 1,968,788.00 "," 1,957,401.00 "," 1,952,777.00 "," 1,953,668.00 "," 2,001,863.00 "," 2,008,990.00 "
Spain,ESP,"Enrolment in lower secondary general, female (number)",UIS.E.2.GPV.F," 990,892.00 "," 964,528.00 "," 949,425.00 "," 958,269.00 "," 963,518.00 "," 962,499.00 "," 959,391.00 "," 953,257.00 "," 952,311.00 "," 951,905.00 "," 967,831.00 "," 972,098.00 "
Spain,ESP,"Enrolment in lower secondary vocational, both sexes (number)",UIS.E.2.V," 8,418.00 "," 8,415.00 "," 8,461.00 "," 8,237.00 "," 7,771.00 "," 8,455.00 "," 8,470.00 "," 8,754.00 "," 8,981.00 "," 8,994.00 "," 9,474.00 "," 10,686.00 "
Spain,ESP,"Enrolment in lower secondary vocational, female (number)",UIS.E.2.V.F," 3,369.00 "," 3,311.00 "," 3,441.00 "," 3,257.00 "," 3,147.00 "," 3,248.00 "," 3,319.00 "," 3,454.00 "," 3,554.00 "," 3,557.00 "," 3,712.00 "," 4,187.00 "
Spain,ESP,"Enrolment in post-secondary non-tertiary education, both sexes (number)",UIS.E.4," 153,695.00 "," 75,319.00 "," 30,926.00 ",,,,,,,,,
Spain,ESP,"Enrolment in post-secondary non-tertiary education, female (number)",UIS.E.4.F," 75,504.00 "," 37,503.00 "," 15,516.00 ",,,,,,,,,
Spain,ESP,"Enrolment in post-secondary non-tertiary education, private institutions, both sexes (number)",UIS.E.4.PR," 38,991.00 "," 20,559.00 "," 9,020.00 ",,,,,,,,,
Spain,ESP,"Enrolment in post-secondary non-tertiary education, private institutions, female (number)",UIS.E.4.PR.F,,,,,,,,,,,,
Spain,ESP,"Enrolment in post-secondary non-tertiary education, public institutions, both sexes (number)",UIS.E.4.PU," 114,704.00 "," 54,760.00 "," 21,906.00 ",,,,,,,,,
Spain,ESP,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL," 2,539,995.00 "," 2,505,203.00 "," 2,490,744.00 "," 2,488,319.00 "," 2,497,513.00 "," 2,484,903.00 "," 2,501,205.00 "," 2,555,757.00 "," 2,625,414.00 "," 2,684,078.00 "," 2,720,989.00 "," 2,772,909.00 "
Spain,ESP,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE," 1,228,386.00 "," 1,211,291.00 "," 1,204,217.00 "," 1,202,628.00 "," 1,207,806.00 "," 1,199,995.00 "," 1,207,596.00 "," 1,235,336.00 "," 1,270,264.00 "," 1,299,546.00 "," 1,318,401.00 "," 1,343,765.00 "
Spain,ESP,"Enrolment in primary education, Grade unspecified, both sexes (number)",UIS.E.1.GUK," 17,140.00 "," 16,038.00 "," 16,483.00 "," 16,464.00 "," 17,882.00 "," 17,267.00 "," 17,841.00 "," 17,724.00 "," 18,030.00 "," 18,917.00 "," 18,590.00 "," 17,923.00 "
Spain,ESP,"Enrolment in primary education, Grade unspecified, female (number)",UIS.E.1.GUK.F," 6,619.00 "," 6,183.00 "," 6,311.00 "," 6,357.00 "," 7,191.00 "," 6,642.00 "," 6,653.00 "," 6,577.00 "," 6,676.00 "," 6,975.00 "," 6,884.00 "," 6,575.00 "
Spain,ESP,"Enrolment in primary education, private institutions, both sexes (number)",UIS.E.1.PR," 847,151.00 "," 837,421.00 "," 836,963.00 "," 831,323.00 "," 835,209.00 "," 829,637.00 "," 831,990.00 "," 843,886.00 "," 864,183.00 "," 882,803.00 "," 892,357.00 "," 904,584.00 "
Spain,ESP,"Enrolment in primary education, public institutions, both sexes (number)",UIS.E.1.PU," 1,692,844.00 "," 1,667,782.00 "," 1,653,781.00 "," 1,656,996.00 "," 1,662,304.00 "," 1,655,266.00 "," 1,669,215.00 "," 1,711,871.00 "," 1,761,231.00 "," 1,801,275.00 "," 1,828,632.00 "," 1,868,325.00 "
Spain,ESP,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL," 3,245,950.00 "," 3,183,282.00 "," 3,106,777.00 "," 3,052,662.00 "," 3,048,188.00 "," 3,107,816.00 "," 3,091,036.00 "," 3,080,161.00 "," 3,069,321.00 "," 3,065,017.00 "," 3,185,008.00 "," 3,248,018.00 "
Spain,ESP,"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE," 1,629,244.00 "," 1,592,905.00 "," 1,560,263.00 "," 1,526,760.00 "," 1,529,111.00 "," 1,557,536.00 "," 1,548,580.00 "," 1,545,018.00 "," 1,535,157.00 "," 1,522,805.00 "," 1,564,865.00 "," 1,587,885.00 "
Spain,ESP,"Enrolment in secondary education, private institutions, both sexes (number)",UIS.E.23.PR," 927,497.00 "," 925,688.00 "," 913,924.00 "," 896,129.00 "," 886,795.00 "," 876,434.00 "," 872,874.00 "," 869,214.00 "," 876,453.00 "," 878,503.00 "," 881,459.00 "," 886,991.00 "
Spain,ESP,"Enrolment in secondary education, public institutions, both sexes (number)",UIS.E.23.PU," 2,318,453.00 "," 2,257,594.00 "," 2,192,853.00 "," 2,156,533.00 "," 2,161,393.00 "," 2,231,382.00 "," 2,218,162.00 "," 2,210,947.00 "," 2,192,868.00 "," 2,186,514.00 "," 2,303,549.00 "," 2,361,027.00 "
