Country Name,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United Kingdom,Current expenditure as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNCUR, 94.10 , 91.87 , 93.10 , 94.49 , 92.05 , 99.82 , 99.84 , 96.35 , 99.08 , 99.59 , 99.61 , 93.43 
United Kingdom,Current expenditure as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNCUR, 94.47 , 92.32 , 93.28 , 94.44 , 92.21 , 90.62 , 89.14 , 90.90 , 89.11 , 88.23 , 88.22 , 93.68 
United Kingdom,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS, 94.85 , 92.29 , 93.03 , 93.92 , 92.07 , 92.01 , 91.38 , 93.92 , 91.73 , 90.36 , 88.59 , 93.85 
United Kingdom,Current expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCUR, 95.36 , 92.38 , 92.82 , 93.37 , 91.96 , 92.28 , 92.22 , 96.39 , 93.20 , 91.11 , 87.37 , 94.05 
United Kingdom,Current expenditure other than staff compensation as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNNONS, 20.23 , 20.73 , 21.40 , 23.44 , 27.52 , 19.91 , 19.08 , 15.81 , 18.40 , 18.50 , 29.89 , 28.26 
United Kingdom,Current expenditure other than staff compensation as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNNONS, 22.93 , 22.91 , 23.31 , 24.83 , 28.85 , 19.32 , 27.66 , 20.90 , 19.50 , 19.58 , 25.64 , 15.58 
United Kingdom,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNNONS, 23.05 , 22.57 , 22.61 , 23.45 , 28.18 , 18.52 , 23.05 , 21.18 , 20.19 , 19.88 , 29.80 , 17.02 
United Kingdom,Current expenditure other than staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNNONS, 23.93 , 22.84 , 22.42 , 22.33 , 27.78 , 17.73 , 19.29 , 22.22 , 21.10 , 20.37 , 33.91 , 17.09 
United Kingdom,Duration of compulsory education (years),SE.COM.DURS, 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 , 11.00 
United Kingdom,"Enrolment in lower secondary education, both sexes (number)",UIS.E.2," 2,290,129.00 "," 2,317,681.00 "," 2,336,944.00 "," 2,345,939.00 "," 2,321,017.00 "," 2,347,370.00 "," 2,285,905.00 "," 2,223,669.00 "," 2,319,682.00 "," 2,412,176.00 "," 2,457,607.00 "," 2,371,594.00 "
United Kingdom,"Enrolment in lower secondary education, female (number)",UIS.E.2.F," 1,118,581.00 "," 1,132,981.00 "," 1,143,254.00 "," 1,147,099.00 "," 1,129,816.00 "," 1,143,083.00 "," 1,118,354.00 "," 1,086,306.00 "," 1,112,046.00 "," 1,155,323.00 "," 1,176,491.00 "," 1,135,121.00 "
United Kingdom,"Enrolment in lower secondary education, private institutions, both sexes (number)",UIS.E.2.PR," 147,708.00 "," 150,186.00 "," 154,834.00 "," 159,080.00 "," 147,679.00 "," 157,049.00 "," 143,154.00 "," 128,409.00 "," 259,562.00 "," 359,334.00 "," 417,324.00 "," 541,052.00 "
United Kingdom,"Enrolment in lower secondary education, public institutions, both sexes (number)",UIS.E.2.PU," 2,142,421.00 "," 2,167,495.00 "," 2,182,110.00 "," 2,186,859.00 "," 2,173,338.00 "," 2,190,321.00 "," 2,142,751.00 "," 2,095,260.00 "," 2,060,120.00 "," 2,052,842.00 "," 2,040,283.00 "," 1,830,542.00 "
United Kingdom,"Enrolment in lower secondary general, both sexes (number)",UIS.E.2.GPV," 2,290,129.00 "," 2,317,681.00 "," 2,336,944.00 "," 2,345,939.00 "," 2,321,017.00 "," 2,347,370.00 "," 2,285,905.00 "," 2,223,669.00 "," 2,319,682.00 "," 2,412,176.00 "," 2,457,607.00 "," 2,371,594.00 "
United Kingdom,"Enrolment in lower secondary general, female (number)",UIS.E.2.GPV.F," 1,118,581.00 "," 1,132,981.00 "," 1,143,254.00 "," 1,147,099.00 "," 1,129,816.00 "," 1,143,083.00 "," 1,118,354.00 "," 1,086,306.00 "," 1,112,046.00 "," 1,155,323.00 "," 1,176,491.00 "," 1,135,121.00 "
United Kingdom,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL," 1,183,250.00 "," 1,187,270.00 "," 1,180,484.00 "," 1,083,589.00 "," 822,407.00 "," 977,448.00 "," 989,596.00 "," 1,004,677.00 "," 1,108,148.00 "," 1,121,699.00 "," 1,175,407.00 "," 1,248,282.00 "
United Kingdom,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE," 577,464.00 "," 578,365.00 "," 576,697.00 "," 530,248.00 "," 401,960.00 "," 483,616.00 "," 490,049.00 "," 497,600.00 "," 546,074.00 "," 551,160.00 "," 585,283.00 "," 610,956.00 "
United Kingdom,"Enrolment in pre-primary education, private institutions, both sexes (number)",UIS.E.02.PR," 71,051.00 "," 71,242.00 "," 72,676.00 "," 71,920.00 "," 70,167.00 ",," 287,401.00 ",," 326,665.00 "," 315,742.00 "," 246,588.00 "," 360,126.00 "
United Kingdom,"Enrolment in pre-primary education, public institutions, both sexes (number)",UIS.E.02.PU," 1,112,199.00 "," 1,116,028.00 "," 1,107,808.00 "," 1,011,669.00 "," 752,240.00 ",," 702,195.00 ",," 781,483.00 "," 805,957.00 "," 928,820.00 "," 888,156.00 "
United Kingdom,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL," 4,631,623.00 "," 4,596,110.00 "," 4,536,143.00 "," 4,488,162.00 "," 4,685,733.00 "," 4,634,991.00 "," 4,517,618.00 "," 4,409,184.00 "," 4,465,021.00 "," 4,416,474.00 "," 4,421,903.00 "," 4,419,840.00 "
United Kingdom,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE," 2,260,149.00 "," 2,242,043.00 "," 2,212,808.00 "," 2,189,893.00 "," 2,285,363.00 "," 2,259,392.00 "," 2,209,814.00 "," 2,156,688.00 "," 2,175,911.00 "," 2,152,505.00 "," 2,152,047.00 "," 2,155,497.00 "
United Kingdom,"Enrolment in primary education, private institutions, both sexes (number)",UIS.E.1.PR," 217,115.00 "," 219,871.00 "," 221,110.00 "," 220,528.00 "," 235,605.00 "," 243,639.00 "," 241,153.00 "," 235,092.00 "," 222,191.00 "," 223,660.00 "," 222,713.00 "," 224,220.00 "
United Kingdom,"Enrolment in primary education, public institutions, both sexes (number)",UIS.E.1.PU," 4,414,508.00 "," 4,376,239.00 "," 4,315,033.00 "," 4,267,634.00 "," 4,450,128.00 "," 4,391,352.00 "," 4,276,465.00 "," 4,174,092.00 "," 4,242,830.00 "," 4,192,814.00 "," 4,199,190.00 "," 4,195,620.00 "
United Kingdom,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL," 5,314,730.00 "," 5,376,980.00 "," 5,518,839.00 "," 5,541,262.00 "," 5,712,635.00 "," 5,760,887.00 "," 5,357,793.00 "," 5,306,369.00 "," 5,356,450.00 "," 5,429,636.00 "," 5,538,230.00 "," 5,000,332.00 "
United Kingdom,"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE," 2,613,602.00 "," 2,638,425.00 "," 2,712,302.00 "," 2,746,617.00 "," 2,820,267.00 "," 2,842,866.00 "," 2,642,807.00 "," 2,610,933.00 "," 2,635,105.00 "," 2,665,866.00 "," 2,708,849.00 "," 2,450,314.00 "
United Kingdom,"Enrolment in secondary education, private institutions, both sexes (number)",UIS.E.23.PR," 1,384,398.00 "," 1,384,196.00 "," 1,479,524.00 "," 1,459,177.00 "," 1,651,476.00 "," 1,700,560.00 "," 1,337,032.00 "," 1,319,633.00 "," 1,390,261.00 "," 1,490,138.00 "," 1,623,594.00 "," 1,471,500.00 "
United Kingdom,"Enrolment in secondary education, public institutions, both sexes (number)",UIS.E.23.PU," 3,919,742.00 "," 3,982,243.00 "," 4,027,874.00 "," 4,071,421.00 "," 4,048,050.00 "," 4,046,862.00 "," 4,020,761.00 "," 3,987,604.00 "," 3,966,189.00 "," 3,939,498.00 "," 3,914,636.00 "," 3,528,832.00 "
United Kingdom,"Enrolment in secondary general, both sexes (number)",SE.SEC.ENRL.GC," 4,255,837.00 "," 4,322,915.00 "," 4,374,779.00 "," 4,474,812.00 "," 4,401,785.00 "," 4,414,562.00 "," 4,381,851.00 "," 4,317,382.00 "," 4,639,448.00 "," 4,749,753.00 "," 4,805,310.00 "," 4,549,325.00 "
United Kingdom,"Enrolment in secondary general, female (number)",SE.SEC.ENRL.GC.FE," 2,096,659.00 "," 2,127,748.00 "," 2,154,294.00 "," 2,206,018.00 "," 2,173,237.00 "," 2,180,060.00 "," 2,167,959.00 "," 2,136,035.00 "," 2,287,760.00 "," 2,340,035.00 "," 2,362,093.00 "," 2,235,917.00 "
United Kingdom,"Enrolment in secondary vocational, both sexes (number)",SE.SEC.ENRL.VO," 1,058,893.00 "," 1,054,065.00 "," 1,144,060.00 "," 1,066,450.00 "," 1,310,850.00 "," 1,346,325.00 "," 975,942.00 "," 988,987.00 "," 717,002.00 "," 679,883.00 "," 732,919.00 "," 451,007.00 "
United Kingdom,"Enrolment in secondary vocational, female (number)",SE.SEC.ENRL.VO.FE," 516,943.00 "," 510,677.00 "," 558,008.00 "," 540,599.00 "," 647,030.00 "," 662,806.00 "," 474,848.00 "," 474,898.00 "," 347,345.00 "," 325,831.00 "," 346,756.00 "," 214,397.00 "
United Kingdom,"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56," 3,438.49 "," 3,499.22 "," 3,778.47 "," 3,841.97 "," 3,755.36 "," 3,799.27 "," 3,851.86 "," 3,863.85 "," 3,776.15 "," 3,881.67 "," 3,953.01 "," 3,945.68 "
United Kingdom,"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F," 3,616.61 "," 3,724.57 "," 4,077.11 "," 4,199.47 "," 4,192.63 "," 4,256.83 "," 4,329.09 "," 4,339.13 "," 4,242.49 "," 4,344.77 "," 4,395.65 "," 4,373.85 "
United Kingdom,"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M," 3,250.98 "," 3,262.38 "," 3,465.20 "," 3,467.72 "," 3,298.53 "," 3,322.13 "," 3,355.05 "," 3,369.80 "," 3,292.06 "," 3,401.57 "," 3,494.72 "," 3,502.95 "
United Kingdom,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL," 2,024,138.00 "," 2,067,349.00 "," 2,240,680.00 "," 2,287,833.00 "," 2,247,441.00 "," 2,287,541.00 "," 2,336,111.00 "," 2,362,815.00 "," 2,329,494.00 "," 2,415,222.00 "," 2,479,197.00 "," 2,492,284.00 "
United Kingdom,"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE," 1,091,854.00 "," 1,127,606.00 "," 1,237,795.00 "," 1,278,980.00 "," 1,282,015.00 "," 1,308,362.00 "," 1,339,174.00 "," 1,352,422.00 "," 1,333,039.00 "," 1,376,057.00 "," 1,402,353.00 "," 1,404,452.00 "
United Kingdom,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)",UIS.E.5.B," 612,162.00 "," 644,514.00 "," 710,923.00 "," 748,687.00 "," 512,831.00 "," 517,248.00 "," 511,883.00 "," 516,200.00 "," 521,518.00 "," 526,667.00 "," 484,132.00 "," 444,470.00 "
United Kingdom,"Enrolment in tertiary education, ISCED 5 programmes, female (number)",UIS.E.5.B.F," 353,245.00 "," 374,976.00 "," 424,997.00 "," 455,084.00 "," 342,145.00 "," 343,934.00 "," 339,784.00 "," 340,828.00 "," 340,788.00 "," 341,220.00 "," 311,949.00 "," 284,480.00 "
United Kingdom,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8," 74,242.00 "," 75,334.00 "," 85,073.00 "," 85,061.00 "," 89,378.00 "," 91,607.00 "," 94,180.00 "," 99,416.00 "," 80,906.00 "," 81,693.00 "," 85,179.00 "," 90,028.00 "
United Kingdom,"Enrolment in tertiary education, ISCED 8 programmes, female (number)",UIS.E.8.F," 30,316.00 "," 31,571.00 "," 36,422.00 "," 36,567.00 "," 39,233.00 "," 40,550.00 "," 42,016.00 "," 44,963.00 "," 37,535.00 "," 37,998.00 "," 40,086.00 "," 42,391.00 "
United Kingdom,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3," 3,024,601.00 "," 3,059,299.00 "," 3,181,895.00 "," 3,195,323.00 "," 3,391,618.00 "," 3,413,517.00 "," 3,071,888.00 "," 3,082,700.00 "," 3,036,768.00 "," 3,017,460.00 "," 3,080,622.00 "," 2,628,738.00 "
United Kingdom,"Enrolment in upper secondary education, female (number)",UIS.E.3.F," 1,495,021.00 "," 1,505,444.00 "," 1,569,048.00 "," 1,599,518.00 "," 1,690,451.00 "," 1,699,783.00 "," 1,524,453.00 "," 1,524,627.00 "," 1,523,059.00 "," 1,510,543.00 "," 1,532,358.00 "," 1,315,193.00 "
United Kingdom,"Enrolment in upper secondary education, private institutions, both sexes (number)",UIS.E.3.PR," 1,236,690.00 "," 1,234,010.00 "," 1,324,690.00 "," 1,300,097.00 "," 1,503,797.00 "," 1,543,511.00 "," 1,193,878.00 "," 1,191,224.00 "," 1,130,699.00 "," 1,130,804.00 "," 1,206,269.00 "," 930,448.00 "
United Kingdom,"Enrolment in upper secondary education, public institutions, both sexes (number)",UIS.E.3.PU," 1,777,321.00 "," 1,814,748.00 "," 1,845,764.00 "," 1,884,562.00 "," 1,874,712.00 "," 1,856,541.00 "," 1,878,010.00 "," 1,892,344.00 "," 1,906,069.00 "," 1,886,656.00 "," 1,874,353.00 "," 1,698,290.00 "
United Kingdom,"Enrolment in upper secondary general, both sexes (number)",UIS.E.3.GPV," 1,965,708.00 "," 2,005,234.00 "," 2,037,835.00 "," 2,128,873.00 "," 2,080,768.00 "," 2,067,192.00 "," 2,095,946.00 "," 2,093,713.00 "," 2,319,766.00 "," 2,337,577.00 "," 2,347,703.00 "," 2,177,731.00 "
United Kingdom,"Enrolment in upper secondary general, female (number)",UIS.E.3.GPV.F," 978,078.00 "," 994,767.00 "," 1,011,040.00 "," 1,058,919.00 "," 1,043,421.00 "," 1,036,977.00 "," 1,049,605.00 "," 1,049,729.00 "," 1,175,714.00 "," 1,184,712.00 "," 1,185,602.00 "," 1,100,796.00 "
United Kingdom,"Enrolment in upper secondary vocational, both sexes (number)",UIS.E.3.V," 1,058,893.00 "," 1,054,065.00 "," 1,144,060.00 "," 1,066,450.00 "," 1,310,850.00 "," 1,346,325.00 "," 975,942.00 "," 988,987.00 "," 717,002.00 "," 679,883.00 "," 732,919.00 "," 451,007.00 "
United Kingdom,"Enrolment in upper secondary vocational, female (number)",UIS.E.3.V.F," 516,943.00 "," 510,677.00 "," 558,008.00 "," 540,599.00 "," 647,030.00 "," 662,806.00 "," 474,848.00 "," 474,898.00 "," 347,345.00 "," 325,831.00 "," 346,756.00 "," 214,397.00 "
United Kingdom,Expenditure on education as % of total government expenditure (%),SE.XPD.TOTL.GB.ZS, 12.05 , 12.28 , 13.55 , 13.61 , 12.94 , 13.17 , 13.20 , 12.99 , 12.95 , 12.61 , 12.95 , 12.70 
United Kingdom,Expenditure on pre-primary as % of government expenditure on education (%),UIS.XPUBP.0, 9.01 , 9.42 , 8.59 , 6.49 , 6.63 , 5.85 , 5.83 , 6.63 , 5.49 , 5.42 , 5.19 , 5.56 
United Kingdom,Expenditure on pre-primary as % of total government expenditure (%),UIS.XGOVEXP.IMF.0, 1.09 , 1.16 , 1.16 , 0.88 , 0.86 , 0.77 , 0.77 , 0.86 , 0.71 , 0.68 , 0.67 , 0.71 
United Kingdom,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS, 24.71 , 24.99 , 23.63 , 25.48 , 26.20 , 26.46 , 29.45 , 30.65 , 31.58 , 31.12 , 30.09 , 30.77 
United Kingdom,Expenditure on primary as % of total government expenditure (%),UIS.XGOVEXP.IMF.1, 2.98 , 3.07 , 3.21 , 3.47 , 3.39 , 3.49 , 3.89 , 3.99 , 4.09 , 3.92 , 3.90 , 3.91 
United Kingdom,Expenditure on secondary as % of government expenditure on education (%),SE.XPD.SECO.ZS, 48.73 , 48.36 , 47.15 , 48.27 , 47.88 , 45.39 , 43.31 , 45.11 , 47.04 , 48.92 , 48.32 , 41.57 
United Kingdom,Expenditure on secondary as % of total government expenditure (%),UIS.XGOVEXP.IMF.23, 5.88 , 5.94 , 6.40 , 6.57 , 6.20 , 5.99 , 5.73 , 5.87 , 6.10 , 6.17 , 6.26 , 5.29 
United Kingdom,Expenditure on tertiary as % of government expenditure on education (%),SE.XPD.TERT.ZS, 17.54 , 17.24 , 20.64 , 19.76 , 19.29 , 22.29 , 20.10 , 17.39 , 15.71 , 14.37 , 16.39 , 22.10 
United Kingdom,Expenditure on tertiary as % of total government expenditure (%),UIS.XGOVEXP.IMF.56, 2.12 , 2.12 , 2.80 , 2.69 , 2.50 , 2.94 , 2.66 , 2.26 , 2.04 , 1.81 , 2.12 , 2.81 
United Kingdom,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD," 2,100,000,000,000.00 "," 2,150,000,000,000.00 "," 2,200,000,000,000.00 "," 2,270,000,000,000.00 "," 2,330,000,000,000.00 "," 2,400,000,000,000.00 "," 2,460,000,000,000.00 "," 2,520,000,000,000.00 "," 2,510,000,000,000.00 "," 2,400,000,000,000.00 "," 2,440,000,000,000.00 "," 2,480,000,000,000.00 "
United Kingdom,GDP at market prices (current US$),NY.GDP.MKTP.CD," 1,650,000,000,000.00 "," 1,620,000,000,000.00 "," 1,770,000,000,000.00 "," 2,040,000,000,000.00 "," 2,400,000,000,000.00 "," 2,520,000,000,000.00 "," 2,690,000,000,000.00 "," 3,070,000,000,000.00 "," 2,890,000,000,000.00 "," 2,380,000,000,000.00 "," 2,440,000,000,000.00 "," 2,620,000,000,000.00 "
United Kingdom,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD," 35,576.77 "," 36,341.71 "," 37,077.65 "," 38,132.84 "," 38,813.02 "," 39,740.90 "," 40,418.75 "," 41,050.41 "," 40,536.13 "," 38,545.92 "," 38,893.02 "," 39,150.76 "
United Kingdom,GDP per capita (current US$),NY.GDP.PCAP.CD," 27,982.36 "," 27,427.59 "," 29,785.99 "," 34,173.98 "," 39,983.98 "," 41,732.64 "," 44,252.32 "," 50,134.32 "," 46,767.59 "," 38,262.18 "," 38,893.02 "," 41,412.35 "
United Kingdom,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD," 33,266.12 "," 33,981.38 "," 34,669.52 "," 35,656.18 "," 36,292.18 "," 37,159.80 "," 37,793.62 "," 38,384.25 "," 37,903.38 "," 36,042.42 "," 36,366.98 "," 36,607.98 "
United Kingdom,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD," 26,229.85 "," 27,502.73 "," 28,806.89 "," 30,044.26 "," 31,744.02 "," 32,436.88 "," 34,516.06 "," 35,281.65 "," 36,257.51 "," 34,631.12 "," 35,909.80 "," 36,607.98 "
United Kingdom,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD," 1,960,000,000,000.00 "," 2,010,000,000,000.00 "," 2,060,000,000,000.00 "," 2,130,000,000,000.00 "," 2,180,000,000,000.00 "," 2,240,000,000,000.00 "," 2,300,000,000,000.00 "," 2,350,000,000,000.00 "," 2,340,000,000,000.00 "," 2,240,000,000,000.00 "," 2,280,000,000,000.00 "," 2,320,000,000,000.00 "
United Kingdom,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD," 1,540,000,000,000.00 "," 1,630,000,000,000.00 "," 1,710,000,000,000.00 "," 1,790,000,000,000.00 "," 1,900,000,000,000.00 "," 1,960,000,000,000.00 "," 2,100,000,000,000.00 "," 2,160,000,000,000.00 "," 2,240,000,000,000.00 "," 2,160,000,000,000.00 "," 2,250,000,000,000.00 "," 2,320,000,000,000.00 "
United Kingdom,GNI (current US$),NY.GNP.MKTP.CD," 1,650,000,000,000.00 "," 1,630,000,000,000.00 "," 1,790,000,000,000.00 "," 2,060,000,000,000.00 "," 2,430,000,000,000.00 "," 2,570,000,000,000.00 "," 2,710,000,000,000.00 "," 3,100,000,000,000.00 "," 2,890,000,000,000.00 "," 2,380,000,000,000.00 "," 2,460,000,000,000.00 "," 2,640,000,000,000.00 "
United Kingdom,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD," 28,880.00 "," 28,630.00 "," 28,900.00 "," 31,990.00 "," 37,690.00 "," 42,770.00 "," 45,000.00 "," 47,760.00 "," 48,420.00 "," 43,940.00 "," 41,380.00 "," 40,620.00 "
United Kingdom,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD," 26,210.00 "," 27,630.00 "," 29,090.00 "," 30,400.00 "," 32,190.00 "," 33,040.00 "," 34,720.00 "," 35,530.00 "," 36,190.00 "," 34,520.00 "," 36,200.00 "," 36,900.00 "
United Kingdom,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD," 1,540,000,000,000.00 "," 1,630,000,000,000.00 "," 1,730,000,000,000.00 "," 1,810,000,000,000.00 "," 1,930,000,000,000.00 "," 2,000,000,000,000.00 "," 2,110,000,000,000.00 "," 2,180,000,000,000.00 "," 2,240,000,000,000.00 "," 2,150,000,000,000.00 "," 2,270,000,000,000.00 "," 2,330,000,000,000.00 "
United Kingdom,Government expenditure in educational institutions as % of GDP (%),UIS.XGDP.FSGOV.FDINSTADM.FFD, 4.23 , 4.35 , 4.70 , 4.85 , 4.70 , 4.80 , 4.20 , 3.80 , 3.74 , 3.89 , 4.18 , 4.51 
United Kingdom,Government expenditure in pre-primary institutions as % of GDP (%),UIS.XGDP.0.FSGOV.FDINSTADM.FFD, 0.39 , 0.41 , 0.43 , 0.33 , 0.33 , 0.26 , 0.26 , 0.23 , 0.22 , 0.22 , 0.28 , 0.31 
United Kingdom,Government expenditure in primary institutions as % of GDP (%),UIS.XGDP.1.FSGOV.FDINSTADM.FFD, 1.07 , 1.10 , 1.17 , 1.30 , 1.28 , 1.35 , 1.44 , 1.51 , 1.50 , 1.54 , 1.68 , 1.76 
United Kingdom,Government expenditure in secondary institutions education as % of GDP (%),XGDP.23.FSGOV.FDINSTADM.FFD, 2.11 , 2.12 , 2.33 , 2.46 , 2.35 , 2.32 , 1.66 , 1.64 , 1.64 , 1.78 , 1.91 , 2.12 
United Kingdom,Government expenditure in tertiary institutions as % of GDP (%),XGDP.56.FSGOV.FDINSTADM.FFD, 0.66 , 0.72 , 0.78 , 0.76 , 0.74 , 0.86 , 0.77 , 0.42 , 0.37 , 0.35 , 0.31 , 0.33 
