Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,ESP,"Africa Dataset: Teacher attrition rate from public lower secondary education, both sexes (%)",UIS.AFR.TATTRR.2.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public lower secondary education, female (%)",UIS.AFR.TATTRR.2.Pu.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public lower secondary education, male (%)",UIS.AFR.TATTRR.2.Pu.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public primary education, both sexes (%)",UIS.AFR.TATTRR.1.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public primary education, female (%)",UIS.AFR.TATTRR.1.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public primary education, male (%)",UIS.AFR.TATTRR.1.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public upper secondary education, both sexes (%)",UIS.AFR.TATTRR.3.Pu.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public upper secondary education, female (%)",UIS.AFR.TATTRR.3.Pu.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Teacher attrition rate from public upper secondary education, male (%)",UIS.AFR.TATTRR.3.Pu.M,,,,,,,,,,,,,,,,,
Spain,ESP,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,,,,,,,, 82.70 , 83.04 , 83.11 , 84.45 , 84.45 , 81.87 , 83.11 ,,,
Spain,ESP,All staff compensation as % of total expenditure in post-secondary non-tertiary public institutions (%),UIS.XSPENDP.4.FDPUB.FNS,,,,,,,,,,,,,,,,,
Spain,ESP,All staff compensation as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNS, 85.09 , 83.98 , 80.63 , 81.09 , 80.10 , 78.62 , 76.72 , 69.07 , 68.49 , 69.19 , 69.60 , 69.60 , 72.20 , 73.59 ,,,
Spain,ESP,All staff compensation as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNS, 84.26 , 83.82 , 82.54 , 81.51 , 79.85 , 77.58 , 75.86 , 74.35 , 74.55 , 75.22 , 74.89 , 74.89 , 75.72 , 76.12 , 77.59 ,,
Spain,ESP,All staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNS, 77.59 , 77.73 , 75.92 , 75.15 , 74.02 , 73.45 , 72.33 , 70.70 , 70.42 , 71.37 , 71.56 , 71.56 , 75.76 , 74.62 , 76.27 ,,
Spain,ESP,All staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNS, 81.86 , 81.78 , 78.82 , 77.79 , 75.24 , 73.62 , 73.21 , 75.37 , 75.07 , 75.98 , 76.66 , 76.66 ,, 80.78 ,,,
Spain,ESP,All staff compensation as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNS, 62.15 , 64.38 , 64.38 , 63.80 , 64.79 , 67.22 , 65.94 , 61.83 , 61.37 , 62.82 , 63.03 , 63.03 , 66.68 , 66.80 , 67.86 ,,
Spain,ESP,All staff compensation as % of total expenditure in upper secondary public institutions (%),UIS.XSPENDP.3.FDPUB.FNS,,,,,,,, 64.36 , 63.73 , 66.17 , 65.88 , 65.88 ,, 78.78 ,,,
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. 10 years of experience,OECD.TSAL.2.E10,,,,,,,,,," 49,807.10 "," 45,224.97 "," 43,221.67 "," 43,173.29 "," 44,124.06 "," 44,106.68 "," 45,416.40 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. 15 years of experience,OECD.TSAL.2.E15," 31,616.22 "," 35,214.67 "," 36,929.88 "," 39,019.19 "," 40,663.34 "," 41,587.93 "," 43,170.62 "," 44,773.92 "," 46,793.92 "," 52,654.46 "," 47,815.51 "," 45,688.76 "," 45,782.91 "," 46,906.75 "," 46,865.47 "," 48,336.48 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0," 27,046.05 "," 30,227.74 "," 31,549.74 "," 33,701.57 "," 35,097.65 "," 35,840.13 "," 37,153.06 "," 38,532.88 "," 40,729.32 "," 45,721.27 "," 41,518.39 "," 39,693.26 "," 39,725.84 "," 40,751.72 "," 40,762.32 "," 42,001.64 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Top of scale,OECD.TSAL.2.ETOP," 39,804.34 "," 43,789.57 "," 45,957.48 "," 48,351.73 "," 50,161.99 "," 51,904.21 "," 52,690.66 "," 54,647.52 "," 56,728.32 "," 63,941.85 "," 58,065.12 "," 55,603.14 "," 55,988.90 "," 57,397.87 "," 57,278.42 "," 59,163.26 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. 10 years of experience,OECD.TSAL.0.E10,,,,,,,,,,," 40,480.09 "," 39,077.13 "," 39,436.73 "," 39,467.81 "," 39,371.14 "," 40,635.63 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. 15 years of experience,OECD.TSAL.0.E15,,,,,,,,,,," 42,845.58 "," 41,339.16 "," 41,861.69 "," 42,186.73 "," 41,939.99 "," 43,304.20 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,,,,,,,,,,," 37,137.30 "," 35,880.54 "," 36,267.99 "," 36,422.47 "," 36,405.36 "," 37,609.35 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Top of scale,OECD.TSAL.0.ETOP,,,,,,,,,,," 51,822.05 "," 50,769.83 "," 51,341.32 "," 51,265.33 "," 51,303.65 "," 53,043.17 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Primary. 10 years of experience,OECD.TSAL.1.E10,,,,,,,,,," 44,576.46 "," 40,480.09 "," 39,077.13 "," 39,436.73 "," 39,467.81 "," 39,371.14 "," 40,635.63 ",
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Primary. 15 years of experience,OECD.TSAL.1.E15," 29,261.39 "," 31,357.23 "," 33,520.76 "," 34,889.56 "," 36,341.92 "," 37,056.36 "," 38,482.72 "," 39,911.92 "," 42,796.49 "," 47,182.00 "," 42,845.58 "," 41,339.16 "," 41,861.69 "," 42,186.73 "," 41,939.99 "," 43,304.20 ",
